STATE,STATEFIPS,COUNTY,COUNTYFIPS,ID,adjust,GEO,YEAR,TP-TotPop,freshPer,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
AL,1,Chilton County,21,01021,0500000US01021,0500000US01021,2015,43.943,0.138816194,--,--,34.63,2.51,0,2.51,1.89,0,1.89,4.4,0,4.4,9.313,0.6,0,0.6,64,2.22,64,2.82,0.39,0,0.39,0,0,0,0.39,0,0.39,0.33,0.16,0.49,--,0.49,0.57,0,0,0.57,0.33,0,0.33,--,0.33,0.51,0,0,0.51,0,0.16,0.16,--,0.16,0.06,0,0,0.06,0.07,0.09,0.16,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,0,0,0.06,0,0.06,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,3.96,0,3.96,2.14,0,2.14,6.1,0,6.1,0.49,0,0.49
AL,1,Choctaw County,23,01023,0500000US01023,0500000US01023,2015,13.17,3.679574791,--,--,4.998,1.21,0,1.21,0,0,0,1.21,0,1.21,8.172,0.41,0,0.41,50,0.25,50,0.66,0,0,0,46.61,0,46.61,46.61,0,46.61,0.01,0.16,0.17,--,0.17,0.07,0,0,0.07,0.01,0,0.01,--,0.01,0.01,0,0,0.01,0,0.16,0.16,--,0.16,0.06,0,0,0.06,0.03,0.03,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,1.66,0,1.66,46.8,0,46.8,48.46,0,48.46,0.17,0,0.17
AL,1,Clarke County,25,01025,0500000US01025,0500000US01025,2015,24.675,1.072745694,--,--,17.759,2.5,0,2.5,0.08,0,0.08,2.58,0,2.58,6.916,0.45,0,0.45,65,1.19,67,1.64,0,0,0,22.14,0,22.14,22.14,0,22.14,0.02,0.26,0.28,--,0.28,0.16,0,0,0.16,0.02,0,0.02,--,0.02,0.05,0,0,0.05,0,0.26,0.26,--,0.26,0.11,0,0,0.11,0.02,0.04,0.06,0,0,0,0.1,0,0.1,0.1,0,0.1,0.86,0,0.86,0,0,0,0.86,0,0.86,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,3.85,0,3.85,22.62,0,22.62,26.47,0,26.47,0.28,0,0.28
AL,1,Clay County,27,01027,0500000US01027,0500000US01027,2015,13.555,0.19181114,--,--,5.97,0,0,0,1.78,0,1.78,1.78,0,1.78,7.585,0.32,0,0.32,42,0.28,47,0.6,0,0,0,0,0,0,0,0,0,0,0.12,0.12,--,0.12,0.08,0,0,0.08,0,0.02,0.02,--,0.02,0.02,0,0,0.02,0,0.1,0.1,--,0.1,0.06,0,0,0.06,0.17,0.21,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0.49,0,0.49,2.11,0,2.11,2.6,0,2.6,0.12,0,0.12
AL,1,Cleburne County,29,01029,0500000US01029,0500000US01029,2015,15.018,0.125848981,--,--,6.613,0,0,0,0.48,0,0.48,0.48,0,0.48,8.405,0.94,0,0.94,112,0.61,92,1.55,0,0,0,0,0,0,0,0,0,0,0.14,0.14,--,0.14,0.31,0,0,0.31,0,0.14,0.14,--,0.14,0.31,0,0,0.31,0,0,0,--,0,0,0,0,0,0.15,0.18,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,1.09,0,1.09,0.8,0,0.8,1.89,0,1.89,0.14,0,0.14
AL,1,Coffee County,31,01031,0500000US01031,0500000US01031,2015,51.211,0.264396321,--,--,42.461,6.34,0,6.34,0,0,0,6.34,0,6.34,8.75,0.8,0,0.8,91,3.53,83,4.33,1.74,0,1.74,0,0,0,1.74,0,1.74,0.68,3.19,3.87,--,3.87,5.07,0,0,5.07,0.68,2.72,3.4,--,3.4,4.81,0,0,4.81,0,0.47,0.47,--,0.47,0.26,0,0,0.26,0.34,0.45,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,9.9,0,9.9,3.64,0,3.64,13.54,0,13.54,3.87,0,3.87
AL,1,Colbert County,33,01033,0500000US01033,0500000US01033,2015,54.354,18.50130625,--,--,50.414,0.6,0,0.6,7.66,0,7.66,8.26,0,8.26,3.94,0.35,0,0.35,89,4.27,85,4.62,0,0,0,29.7,0,29.7,29.7,0,29.7,0.78,1.65,2.43,--,2.43,4.17,0,0,4.17,0.78,0.78,1.56,--,1.56,3.69,0,0,3.69,0,0.87,0.87,--,0.87,0.48,0,0,0.48,0.16,0.21,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0.52,0.52,0,0.52,0,0,0,963.99,0,963.99,963.99,0,963.99,--,--,0.8,0,0.8,2685.37,0,0,0,963.99,0,963.99,963.99,0,963.99,--,--,0.8,0,0.8,2685.37,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,1.89,0,1.89,1003.73,0,1003.73,1005.62,0,1005.62,3.23,0,3.23
AL,1,Conecuh County,35,01035,0500000US01035,0500000US01035,2015,12.672,0.152304293,--,--,6.988,1.32,0,1.32,0,0,0,1.32,0,1.32,5.684,0.18,0,0.18,32,0.41,59,0.59,0,0,0,0,0,0,0,0,0,0.05,0.16,0.21,--,0.21,0.16,0,0,0.16,0.05,0,0.05,--,0.05,0.1,0,0,0.1,0,0.16,0.16,--,0.16,0.06,0,0,0.06,0.05,0.07,0.12,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.04,0,0.04,0.1,0,0.1,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,1.66,0,1.66,0.27,0,0.27,1.93,0,1.93,0.21,0,0.21
AL,1,Coosa County,37,01037,0500000US01037,0500000US01037,2015,10.724,0.080193957,--,--,5.839,0.27,0,0.27,0,0,0,0.27,0,0.27,4.885,0.33,0,0.33,68,0.39,67,0.72,0,0,0,0,0,0,0,0,0,0,0.1,0.1,--,0.1,0.06,0,0,0.06,0,0,0,--,0,0,0,0,0,0,0.1,0.1,--,0.1,0.06,0,0,0.06,0.02,0.02,0.04,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0.04,0,0.04,0.12,0,0.12,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0.7,0,0.7,0.16,0,0.16,0.86,0,0.86,0.1,0,0.1
AL,1,Covington County,39,01039,0500000US01039,0500000US01039,2015,37.835,0.271706092,--,--,24.183,4.09,0,4.09,0,0,0,4.09,0,4.09,13.652,1,0,1,73,1.81,75,2.81,0,0,0,0,0,0,0,0,0,1.27,2.19,3.46,--,3.46,2.21,0,0,2.21,1.27,1.68,2.95,--,2.95,1.95,0,0,1.95,0,0.51,0.51,--,0.51,0.26,0,0,0.26,0.23,0.32,0.55,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0.04,0,0.04,0,0,0,1.14,0,1.14,1.14,0,1.14,--,--,1.04,0,1.04,4001.22,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,1.14,0,1.14,1.14,0,1.14,--,--,1.04,0,1.04,4001.22,6.63,0,6.63,3.65,0,3.65,10.28,0,10.28,4.5,0,4.5
AL,1,Crenshaw County,41,01041,0500000US01041,0500000US01041,2015,13.963,0.242068323,--,--,10.616,1.93,0,1.93,0,0,0,1.93,0,1.93,3.347,0.15,0,0.15,45,0.83,78,0.98,0,0,0,0,0,0,0,0,0,0,0.58,0.58,--,0.58,0.96,0,0,0.96,0,0.48,0.48,--,0.48,0.9,0,0,0.9,0,0.1,0.1,--,0.1,0.06,0,0,0.06,0.3,0.42,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,2.38,0,2.38,1,0,1,3.38,0,3.38,0.58,0,0.58
AL,1,Cullman County,43,01043,0500000US01043,0500000US01043,2015,82.005,0.355100299,--,--,79.424,0.31,0,0.31,22.93,0,22.93,23.24,0,23.24,2.581,0.19,0,0.19,74,5.73,72,5.92,0.74,0,0.74,2.43,0,2.43,3.17,0,3.17,0.28,0.63,0.91,--,0.91,0.73,0,0,0.73,0.28,0.28,0.56,--,0.56,0.52,0,0,0.52,0,0.35,0.35,--,0.35,0.21,0,0,0.21,0.82,0.79,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,2.34,0,2.34,26.78,0,26.78,29.12,0,29.12,0.91,0,0.91
AL,1,Dale County,45,01045,0500000US01045,0500000US01045,2015,49.565,0.184404318,--,--,40.468,5.9,0,5.9,0,0,0,5.9,0,5.9,9.097,0.68,0,0.68,75,3.05,75,3.73,0,0,0,0,0,0,0,0,0,0.33,1.75,2.08,--,2.08,2.84,0,0,2.84,0.33,1.12,1.45,--,1.45,2.58,0,0,2.58,0,0.63,0.63,--,0.63,0.26,0,0,0.26,0.17,0.23,0.4,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.03,0,0.03,0.08,0,0.08,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,7.13,0,7.13,2.01,0,2.01,9.14,0,9.14,2.08,0,2.08
AL,1,Dallas County,47,01047,0500000US01047,0500000US01047,2015,41.131,1.296832073,--,--,31.711,5.91,0,5.91,0,0,0,5.91,0,5.91,9.42,0.66,0,0.66,70,2.23,70,2.89,0.24,0,0.24,30.66,0,30.66,30.9,0,30.9,0.69,2.51,3.2,--,3.2,3.17,0,0,3.17,0.69,2.1,2.79,--,2.79,2.91,0,0,2.91,0,0.41,0.41,--,0.41,0.26,0,0,0.26,0.1,0.16,0.26,7.79,0,7.79,3.9,0,3.9,11.69,0,11.69,0.5,0,0.5,0.22,0,0.22,0.72,0,0.72,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,15.89,0,15.89,37.45,0,37.45,53.34,0,53.34,3.2,0,3.2
AL,1,DeKalb County,49,01049,0500000US01049,0500000US01049,2015,71.13,0.177421622,--,--,51.765,0.33,0,0.33,5.58,0,5.58,5.91,0,5.91,19.365,1.34,0,1.34,69,3.39,65,4.73,0.57,0,0.57,0,0,0,0.57,0,0.57,0.49,2.15,2.64,--,2.64,1.03,0,0,1.03,0.49,1.48,1.97,--,1.97,0.67,0,0,0.67,0,0.67,0.67,--,0.67,0.36,0,0,0.36,0.99,1.11,2.1,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.02,0,0.02,0.06,0,0.06,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,3.76,0,3.76,8.86,0,8.86,12.62,0,12.62,2.64,0,2.64
AL,1,Elmore County,51,01051,0500000US01051,0500000US01051,2015,81.468,0.229660726,--,--,75.87,2.68,0,2.68,9.51,0,9.51,12.19,0,12.19,5.598,0.36,0,0.36,64,5.02,66,5.38,0,0,0,0,0,0,0,0,0,0.61,2.47,3.08,--,3.08,3.83,0,0,3.83,0.61,1.44,2.05,--,2.05,3.25,0,0,3.25,0,1.03,1.03,--,1.03,0.58,0,0,0.58,0.07,0.08,0.15,0,0,0,0,0,0,0,0,0,1.99,0,1.99,0.94,0,0.94,2.93,0,2.93,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,5.71,0,5.71,13,0,13,18.71,0,18.71,3.08,0,3.08
AL,1,Escambia County,53,01053,0500000US01053,0500000US01053,2015,37.789,1.126518299,--,--,30.839,5,0,5,0,0,0,5,0,5,6.95,0.51,0,0.51,73,2.22,72,2.73,1.46,0,1.46,32.54,0,32.54,34,0,34,1,0.74,1.74,--,1.74,1.96,0,0,1.96,1,0.33,1.33,--,1.33,1.75,0,0,1.75,0,0.41,0.41,--,0.41,0.21,0,0,0.21,0.07,0.1,0.17,0,0,0,0,0,0,0,0,0,1.15,0,1.15,0,0,0,1.15,0,1.15,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,9.19,0,9.19,33.38,0,33.38,42.57,0,42.57,1.74,0,1.74
AL,1,Etowah County,55,01055,0500000US01055,0500000US01055,2015,103.057,1.288704309,--,--,99.052,4.12,0,4.12,12.73,0,12.73,16.85,0,16.85,4.005,0.26,0,0.26,65,6.6,67,6.86,0,0,0,8.3,0,8.3,8.3,0,8.3,0,1,1,--,1,0.65,0,0,0.65,0,0.03,0.03,--,0.03,0.07,0,0,0.07,0,0.97,0.97,--,0.97,0.58,0,0,0.58,0.21,0.26,0.47,0,0,0,0.01,0,0.01,0.01,0,0.01,0.28,0,0.28,0.12,0,0.12,0.4,0,0.4,0,0,0,105.52,0,105.52,105.52,0,105.52,--,--,0.76,0,0.76,214.66,0,0,0,105.52,0,105.52,105.52,0,105.52,--,--,0.76,0,0.76,214.66,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,4.87,0,4.87,127.94,0,127.94,132.81,0,132.81,1.76,0,1.76
