Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/18/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Ireland,IRL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1443.598138,1649.946363,2015.118028,2324.639023,2393.771373,2852.409827,2759.33234,3185.628962,3976.031592,4862.272166,5624.715947,5302.291783,5302.372227,5006.302458,4729.059339,4929.575377,6729.299362,7954.689466,8802.052406,9043.79721,11502.46856,11541.97142,12709.00883,11908.2808,12926.96949,15307.30229,16766.20363,17879.47977,19101.03736,19963.60354,19850.00204,20826.66269,23482.69301,30390.16964,34990.77324,37010.01781,39276.9517,44076.51337,44216.54011,35703.56885,33438.81743,34634.89484,32492.04205,35796.55095,38413.06302,34338.56523,37784,,18
Netherlands,NLD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2579.655223,2945.565559,3583.320042,4740.084805,5482.118757,6272.327557,6847.077599,7940.184308,9591.514744,10894.63968,11564.69704,9557.176021,9208.677906,8852.56629,8285.636235,8081.976904,11345.18552,13888.31357,14658.10598,14378.74856,17260.03123,17711.61454,19383.52852,18873.58463,20387.45575,24523.1284,24412.13042,22397.87004,23094.67092,23912.91961,22197.52459,22035.7983,23889.95865,29624.75307,33748.6913,34362.13158,37802.22922,43374.89513,46442.6844,42842.15362,42029.31224,45289.8334,41739.4893,43173.20967,42966.895,37001.52996,37534,,28
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1762.799506,2036.332246,2500.535255,3336.116637,3963.764543,4505.241741,4861.574029,5805.31285,6962.498271,8321.077145,9180.403687,7869.495721,7897.975588,8041.655651,7573.590256,7743.078801,11021.42176,13795.60786,14885.62837,14801.14724,18411.35919,18911.50006,21001.67752,20253.93732,21552.47825,25393.19088,25033.96993,22289.81023,22793.871,22351.69978,20343.70917,20129.68136,21823.91938,26670.99073,30566.14259,31853.4044,33972.02796,39120.49479,43481.22452,39513.90033,39008.18009,42588.85128,39997.00016,41697.6759,42397.79623,35926.94511,36636,,19
Finland,FIN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2138.3673,2332.320331,2722.943168,3560.780799,4483.049816,5231.098798,5607.459409,5797.694534,6256.454664,7743.017219,9265.088477,8943.60386,8950.205896,8547.582262,8843.109541,9307.969537,12250.21709,15135.9752,17985.92321,19235.43914,22308.6543,19447.25188,16732.27867,13116.67258,15463.93333,20763.05991,20572.8299,20036.75314,21120.61178,21508.75681,19990.31173,20653.92082,22317.93983,26960.6456,31382.62204,32253.89832,34239.89861,40016.77426,43814.88662,38473.83886,38004.84294,41400.79917,38447.28938,40167.71737,40694.91148,34699.89787,35600,,13
Germany,DEU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2427.253564,2789.489339,3320.177831,4401.395201,4881.402009,5361.226764,5720.252167,6617.307669,8192.916731,9699.273117,10363.99406,8625.266823,8329.635512,8320.969989,7886.718845,7990.325102,11424.30127,14113.15206,15289.44141,15182.22843,19076.12416,19831.92091,22380.58914,21438.6874,22713.76761,26520.51922,25525.6527,22511.26137,22666.47994,22157.51587,19579.49891,19492.1622,20616.34812,24891.97346,28579.76626,29054.0424,30908.89167,35363.00152,38228.39627,34992.91993,35136.96524,39716.36333,37201.94023,39224.36542,40440.41913,34795.64069,35518,,17
United Arab Emirates,ARE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28946.56528,28041.96463,29435.28173,32144.28426,33469.94484,36411.61276,37531.39856,38831.06282,28504.9511,31812.97543,36076.38284,37502.56708,39176.95197,40199.43283,36198.91235,34580,,26
Canada,CAN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,3399.299037,3768.297935,4251.175484,4804.463248,5576.514583,5998.144346,7062.131392,7100.12617,7247.967035,7602.912681,8355.96812,9434.390652,9619.438377,10416.53659,10790.32872,11018.95585,11482.89153,12974.80662,15080.28345,16426.72548,16838.6732,17266.09769,16412.08309,15875.58673,15755.82027,16369.31725,16699.82668,17310.75775,16622.67187,17581.02414,18987.38241,18601.39724,19232.17556,22739.42628,25719.14715,29198.05569,32738.2629,36144.48122,37446.48609,32755.17682,38420.52289,42334.71121,42665.25597,42676.46837,41039.8936,35175.18898,34229,,22
Post-demographic dividend,PST,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2433.504172,2658.475563,3057.099894,3660.832044,3980.068627,4404.181061,4749.268051,5323.371883,6364.403813,7159.343356,7792.085143,7813.920006,7765.705073,7967.408663,8335.239331,8727.937557,10641.47906,12279.43968,13823.75727,14250.39805,15851.1458,16577.59404,17646.49488,17561.731,18736.77532,20689.11383,20760.53474,20345.47897,20459.00948,21302.92115,21552.59339,21252.1103,22020.81525,24603.26404,27260.03153,28547.44748,29990.67374,32261.86272,33408.38005,31256.91565,32740.11095,35111.91015,35030.88896,35162.41015,35754.32241,33815.24996,34218,,#N/A
United Kingdom,GBR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2224.646823,2486.692414,2828.098614,3185.780353,3393.027093,3989.736621,3820.736705,4232.767465,5375.48379,6839.95163,8641.831478,8152.896122,7794.102365,7441.351888,7005.185212,7335.573287,9227.841448,11308.65387,13812.22314,13850.09164,16077.92596,16821.31024,17619.54555,15857.67021,17390.36112,18929.51592,19899.41381,22401.15621,24346.8427,24369.85552,24130.68062,23724.12946,25857.82166,29716.90309,34862.90138,36607.65918,38128.39097,43296.22749,40132.92607,32747.35955,33828.0071,35967.99075,35699.95703,36300.13073,39483.70879,37445.54599,34167,,7
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2419.868812,2701.937787,3362.352706,4323.649878,5042.872448,5898.613836,6418.990563,7391.702194,9015.359205,10284.59856,10930.70594,8949.641972,7833.486956,7414.733441,7149.977577,7434.348206,10390.10296,12995.9659,14151.84293,14232.73339,17765.96134,18165.57385,20133.89384,19341.99386,21211.99274,24706.34349,23876.76311,21588.48067,21983.91562,21795.68686,19909.35788,19603.3882,21195.69233,25914.54229,29889.28005,30897.31463,32397.5374,36996.74767,40502.6465,36229.76261,37235.18674,38914.50255,37016.7462,38156.63714,38455.06984,32465.9008,33308,,42
High income,HIC,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2439.392493,2664.241885,3055.127935,3672.282958,4032.394096,4416.006766,4761.505633,5331.846648,6339.976801,7119.837308,7788.595112,7840.45708,7764.860901,7932.660995,8231.089381,8594.537761,10416.51078,11965.13182,13448.13079,13796.22418,15381.03036,16120.30267,17217.95936,17127.68805,18261.31787,20101.37393,20198.19455,19804.3987,19886.23889,20637.68446,20871.0117,20541.78244,21081.21886,23524.58602,26068.95993,27366.47532,28793.34629,31040.66096,32306.0513,30052.9552,31571.92608,33981.94174,33913.76625,34079.703,34621.09827,32702.15122,32990,,#N/A
New Zealand,NZL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,2424.152494,2867.885244,3772.584809,3962.842758,3424.6211,3554.503567,3973.304938,4756.454643,5384.014741,6070.747039,6373.304415,6181.583805,6103.890352,5293.079802,5905.311208,7482.093789,9842.509161,11173.52909,10775.83544,10986.00673,9459.671861,9142.806524,10150.02549,11981.35497,13761.75454,14628.78549,13860.36155,11873.03596,12184.6258,10790.34897,11123.23633,13601.4068,17841.33681,20454.71122,22024.14124,20956.33883,25472.8823,23923.59954,22468.03717,26750.08354,30849.89548,32256.70382,34995.2484,36293.53759,31273.79965,32271,,1
Israel,ISR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2063.771941,1924.478279,2438.75201,2998.42083,4159.93477,3740.342406,3605.288268,4030.850817,3741.28714,4696.671054,4911.963451,5161.493754,5591.383928,6156.940266,5458.009742,5005.837369,6234.231323,7515.962048,9229.175038,9031.757013,10508.03856,11546.85465,12506.16782,12178.00491,13494.47711,15363.92019,16321.21081,16511.48556,16265.27131,15664.96348,16903.03269,16608.08519,14982.90819,15385.75077,16207.26474,17157.75255,18402.83448,21113.6968,24603.6064,23042.008,25869.25984,28718.0566,27298.77572,30778.48367,32271.99209,30683.48101,31885,,52
Japan,JPN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1672.312813,1859.441627,2419.205996,3273.857011,3577.145667,3857.747531,4331.009597,5285.679752,7387.210581,7601.891624,7849.427461,8533.859361,7874.590265,8506.079246,8992.824525,9578.966302,14050.99929,16902.1949,20424.0781,20217.73074,20663.53016,23257.94555,25049.84174,28414.49854,30982.03526,34506.92866,30725.6833,27858.81928,25163.52427,28319.91096,30451.64327,26772.44225,25449.37409,27559.5367,30039.1657,29741.02082,28339.62771,28276.00391,30965.21121,31695.25179,35066.92354,38101.78272,38602.86861,32487.2001,30690.23136,28061.8243,31118,,34
France,FRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2522.161777,2791.3538,3377.758726,4337.838686,4605.283369,5746.826261,5885.339387,6436.395386,7975.397519,9635.178018,10914.54104,9494.478683,8924.821435,8439.121844,7941.160094,8288.580483,11597.89346,13998.05726,15174.68965,15141.38223,18596.81109,18452.69755,20332.00255,19101.10995,20049.17184,23000.12161,23117.41114,20955.47546,21668.49125,21565.37302,19461.75502,19450.22823,20723.68374,25370.13118,28989.06782,29858.36279,31271.29466,35578.56437,38593.13167,34943.60285,34316.34365,37000.22989,34042.09986,35465.64535,35823.71835,30555.56233,30816,,29
OECD members,OED,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2331.437523,2539.380124,2915.776692,3487.623099,3800.600649,4191.506325,4504.502656,5024.749475,5988.002027,6755.917471,7355.57676,7411.908543,7263.615056,7398.205626,7727.016201,8077.474662,9755.780306,11229.47341,12645.98023,13050.92945,14536.23899,15208.00816,16189.36711,16215.26053,17214.12704,18808.27565,18908.93831,18576.09399,18742.79984,19483.24422,19752.98924,19438.27886,20101.81649,22358.43949,24756.80995,25983.57499,27289.56608,29411.54056,30499.61465,28309.58589,29728.68642,31828.70938,31685.82334,31870.55905,32380.17753,30511.60966,30741,,#N/A
Euro area,EMU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1972.576348,2216.874663,2655.8332,3425.802909,3823.829668,4381.798185,4560.678362,5156.95668,6302.018867,7594.379891,8398.394253,7196.541888,6919.84421,6730.092807,6449.762554,6618.945953,9310.660375,11504.02101,12643.62444,12856.29168,16069.28374,16574.8923,18176.38976,16512.48158,17354.98682,20018.06333,20232.99441,18468.72465,18911.29682,18796.91615,17037.09088,17157.00357,18468.63165,22690.92778,26049.09474,26833.23619,28449.43036,32471.45541,35027.80102,31776.20635,31157.45297,33628.36293,31001.94958,32227.24062,32788.91267,28136.36359,28768,,#N/A
European Union,EUU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1723.771862,1932.017532,2292.841068,2890.887392,3199.945554,3693.912252,3808.937358,4275.44588,5223.839057,6326.366185,7122.833868,6210.736144,5941.985973,5744.712956,5508.043015,5672.7308,7819.483921,9649.719125,10757.82121,10917.80105,13441.9367,13878.03557,15095.00492,13657.80241,14526.06469,16682.45195,17039.08958,16117.77859,16725.35749,16640.54104,15433.25623,15512.37722,16806.33545,20408.49687,23580.98244,24569.95148,26097.58309,29948.43407,31774.39955,28159.50506,28074.02851,30325.44425,28375.30654,29473.18629,30346.02624,26551.84406,26614,,#N/A
Italy,ITA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1879.78831,2059.559164,2386.068263,2847.422471,3166.423704,3542.559922,3490.93104,3982.946496,4872.167014,6116.735592,7304.728584,6462.727549,6385.646415,6634.482224,6561.048732,6753.129402,9579.625302,12100.15603,13414.66699,13924.52582,17567.26872,18471.86715,19448.48428,15631.20278,16110.6302,17326.49596,19449.14755,18511.71384,18889.81566,18677.55439,17009.36286,17308.52587,18726.85629,23084.75714,26342.50856,27009.72757,28285.11249,31759.15221,33620.52585,30570.72324,29492.91265,31407.04848,28352.85333,28757.98649,28897.58163,24539.27276,25262,,50
Kuwait,KWT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2971.219429,3683.537411,3666.163729,4382.745658,10042.56586,10792.30344,11554.72472,11960.12941,12643.78092,,20732.37994,20918.60534,16991.3819,14902.694,14638.23505,13613.42601,12723.58426,12989.67454,12191.90287,13741.91567,11097.98042,7202.115605,,,,17341.40754,19738.4665,18863.31442,15317.28112,16135.78893,18682.83094,16055.75816,16387.42751,19830.95334,24786.83322,31636.67868,39264.11981,42553.16144,48801.43297,34977.90496,34427.2205,40923.6279,43467.14898,41802.6871,38379.06999,27112.10983,24852,,102
Brunei Darussalam,BRN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9143.774919,9537.798037,10841.33094,11972.26938,11425.71434,11154.23986,12562.25424,13181.90979,13205.813,10518.17606,11146.05096,12758.78047,12328.91265,13121.45196,14237.76728,16314.50432,18309.94182,21457.76028,24708.07224,28210.66203,22196.89945,26986.31109,32317.71757,33825.00956,33921.88585,32949.55001,27860.13618,24809,,72
"Bahamas, The",BHS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,5504.55529,5657.273193,6240.046609,6689.333132,7729.336896,8683.884511,9063.110037,9835.250116,10110.85663,11015.27915,11000.54221,10631.83268,10753.12755,10296.34144,10580.58763,13135.46537,14944.99526,15761.75183,17397.46005,18967.394,19493.13055,19709.07999,20641.33703,20257.47894,20243.10041,21332.29232,21434.33563,22010.29822,21739.26845,20039.73021,19702.64889,19385.31679,26250.40882,25507.69552,25175.36885,25421.23455,24603,,121
"Korea, Rep.",KOR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,282.8072938,301.9822721,375.6262664,521.2131815,562.5417441,762.6024372,963.5997531,1294.320634,1622.72285,1524.758106,1660.182577,1750.201496,1924.576496,2109.638466,2140.603026,2435.962748,3070.518422,4103.408264,5042.847659,5712.615373,6629.401117,6979.902184,7598.018955,8887.876398,10542.42978,11148.21231,10186.1338,6520.389218,8493.957338,9817.789019,9218.977647,10580.24232,11720.85018,13135.82438,15271.76768,17190.75916,19054.84494,16672.3764,14725.78027,18055.97722,19659.88698,19878.8787,21018.30632,22446.48602,21881.35335,22172,,5
Spain,ESP,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1047.118651,1180.582363,1494.693117,1977.601882,2417.726574,2796.324681,2846.47486,3145.493788,3778.976134,4987.645428,5322.211775,4533.260884,4338.906703,3733.733886,3737.263374,3945.563529,5538.102049,7042.732226,8282.216079,9186.283591,11897.07483,12791.06335,13909.71819,11493.00899,11383.21206,13340.93908,13787.23393,12619.63765,13217.18076,13501.11781,12622.88177,13068.28222,14475.71267,18302.55252,21081.68397,22208.2293,23712.55334,26957.61721,29066.02447,26435.15242,25125.2325,25752.42571,23234.80328,23841.81181,24244.16587,21197.2303,21836,,32
Bahrain,BHR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,6454.616186,7621.360316,7685.12957,7431.961035,7641.154698,5865.44882,5014.423155,5354.239954,5604.597441,5543.183771,5610.808523,8125.212433,7846.140071,7991.525274,8329.642532,8910.468445,9133.957879,8910.906753,8581.431606,8619.896165,11490.88384,10680.01117,10772.78254,11896.05093,13356.98194,15457.08645,16666.04746,18387.62578,19699.67369,15398.51324,16772.50217,17231.37658,17800.8709,18595.28324,17677.63418,19133.78273,18907,,63
Europe & Central Asia,ECS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1154.310091,1286.802519,1525.488739,1920.174315,2132.509808,2457.029769,2535.014771,2839.367999,3445.160232,4166.933879,4644.258228,4064.638157,3881.289445,3741.896197,3578.656544,3677.463438,5026.787404,6169.298887,6836.538132,6915.709822,8517.252504,8763.068807,9500.095393,8655.105211,9095.060841,10438.26,10696.87843,10179.12768,10519.31058,10402.94114,9766.893742,9801.538392,10661.09415,12982.06602,15153.93772,16076.29802,17315.43786,20111.68852,21716.10835,18999.68994,19504.22494,21466.89157,20514.29516,21347.21335,21512.06865,18461.03564,18252,,#N/A
Saudi Arabia,SAU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,663.2832748,833.0664992,1071.177139,1514.388964,4271.293959,4879.16824,6561.293115,7040.609672,7250.340955,6806.971182,10473.25961,12680.61364,11431.5651,9311.7512,8091.617107,7544.66589,5935.453025,5443.618954,5344.937429,5397.717813,6028.58005,6503.639864,6668.211174,6319.707588,6151.069731,6389.430393,6739.839625,7013.347577,6257.054219,6759.826929,7353.320019,7130.243975,7238.595891,7685.842744,8731.973324,10458.23438,11807.52601,13004.25507,15330.7527,13393.50359,15481.76655,18559.6527,19710.81445,19508.18137,19594.57077,17257.35857,16721,,94
Slovenia,SVN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8920.141616,8900.045709,8584.708386,9127.023876,9413.673603,8256.263604,8507.824425,9575.055359,12052.65195,13887.37455,14687.27088,15951.88312,19181.35617,22017.60266,19487.99049,18452.17362,19626.66818,17391.04674,18063.092,18958.99003,15947.03024,16640,,30
Portugal,PRT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,773.8762269,878.9639002,1074.720513,1475.644678,1713.0877,1786.350172,1843.470187,1916.840688,2027.095027,2283.904018,2787.162786,2654.247106,2450.9717,2189.048299,1992.58422,2157.056458,3157.347679,3977.688302,4699.158364,5110.446094,6726.713528,7704.28314,9401.881869,8271.469096,8600.274502,10046.31174,10351.84412,9780.805374,10323.76685,10554.15544,9524.092667,9670.364521,10623.23449,13038.86817,14851.17729,15422.80508,15948.53006,18362.80159,19679.41581,18251.06667,17884.22551,18587.21523,16327.12055,17515.99357,17814.76026,15389.321,16033,,25
Estonia,EST,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3405.872605,3743.87237,4407.963441,5881.278123,7259.771537,8608.35112,10332.18424,13322.16815,14574.16854,11779.59222,11456.55768,13948.83105,14045.83418,15614.61215,16250.93293,14031.63889,14570,,12
Greece,GRC,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1391.729346,1539.972227,1761.048165,2318.560427,2621.657251,2902.850752,3125.291357,3566.48489,4275.257265,5190.928618,5344.452086,4830.251564,5028.396004,4467.315666,4280.48863,4226.682925,4909.190954,5729.959742,6648.08174,6885.63599,8585.06328,9161.307654,10064.8104,9333.980301,9943.098885,11575.62782,12124.55322,11806.00247,11777.63858,11370.97316,10528.09684,10951.81894,12242.12075,15753.59559,18572.90887,19305.06064,20761.3621,23873.03972,26182.9617,24321.6775,21816.31615,20535.86226,18054.56315,17595.20834,17755.50337,14620.27469,14275,,61
